problem,unknowns,solver,backend,workers,ranks,threads_per_rank,pinning,reduction,schedule,mode,iterations,converged,stop_reason,relative_residual,omega,blocks,check_interval,seconds_median,seconds_min,seconds_max,reps,updates_per_second,gib_per_second,bytes_per_unknown,seed,commit,label,sweeps,passes,dram_bytes_per_unknown_per_sweep,pinning_status,measured_at,seconds_reps,kernels,kernel_variant
poisson2d_rich_63,3969,richardson,serial,1,1,1,none,deterministic,static,solve,20602,1,converged,9.996886e-09,1.906455,63,1,0.097814,0.097814,0.097814,1,8.359708e+08,18.6854,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,jacobi,serial,1,1,1,none,deterministic,static,solve,11255,1,converged,9.997286e-09,1.906455,63,1,0.044253,0.044253,0.044253,1,1.009451e+09,22.5630,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_f,serial,1,1,1,none,deterministic,static,solve,5192,1,converged,9.985556e-09,1.906455,63,1,0.057392,0.057392,0.057392,1,3.590553e+08,8.0255,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_b,serial,1,1,1,none,deterministic,static,solve,5104,1,converged,9.989801e-09,1.906455,63,1,0.048615,0.048615,0.048615,1,4.166986e+08,9.3139,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_s,serial,1,1,1,none,deterministic,static,solve,2579,1,converged,9.982257e-09,1.906455,63,1,0.045915,0.045915,0.045915,1,2.229357e+08,4.9830,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_rb,serial,1,1,1,none,deterministic,static,solve,5293,1,converged,9.978103e-09,1.906455,63,1,0.024704,0.024704,0.024704,1,8.504005e+08,19.0079,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,sor,serial,1,1,1,none,deterministic,static,solve,216,1,converged,9.836381e-09,1.906455,63,1,0.002334,0.002334,0.002334,1,3.673065e+08,8.2099,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,ssor,serial,1,1,1,none,deterministic,static,solve,2579,1,converged,9.982257e-09,1.906455,63,1,0.045172,0.045172,0.045172,1,2.266016e+08,5.0649,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,sor_rb,serial,1,1,1,none,deterministic,static,solve,197,1,converged,9.995782e-09,1.906455,63,1,0.000930,0.000930,0.000930,1,8.406719e+08,18.7905,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,block_jacobi,serial,1,1,1,none,deterministic,static,solve,5852,1,converged,9.984687e-09,1.906455,63,1,0.126647,0.126647,0.126647,1,1.833956e+08,4.0992,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,block_gauss_seidel,serial,1,1,1,none,deterministic,static,solve,2615,1,converged,9.969690e-09,1.906455,63,1,0.063829,0.063829,0.063829,1,1.626061e+08,3.6345,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_63,3969,cg,serial,1,1,1,none,deterministic,static,solve,197,1,converged,8.779298e-09,1.906455,63,1,0.000873,0.000873,0.000873,1,8.956997e+08,20.0204,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
poisson2d_rich_127,16129,richardson,serial,1,1,1,none,deterministic,static,solve,85458,1,converged,9.998625e-09,1.952093,127,1,1.711080,1.711080,1.711080,1,8.055452e+08,18.0053,24.0,20260802,cd57032941a8.dirty,convergence_counts,,,,,,,cxx,cpp
