problem,unknowns,solver,backend,workers,ranks,threads_per_rank,pinning,reduction,schedule,mode,iterations,converged,stop_reason,relative_residual,omega,blocks,check_interval,seconds_median,seconds_min,seconds_max,reps,updates_per_second,gib_per_second,bytes_per_unknown,seed,commit,label,sweeps,passes,dram_bytes_per_unknown_per_sweep,pinning_status,measured_at,seconds_reps,kernels,kernel_variant
poisson2d_rich_63,3969,richardson,serial,1,1,1,none,deterministic,static,solve,20602,1,converged,9.996886e-09,0.125000,63,1,0.051748,0.051748,0.051748,1,1.580136e+09,35.3188,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:34:46Z,0.051748,cxx,cpp
poisson2d_rich_63,3969,jacobi,serial,1,1,1,none,deterministic,static,solve,11255,1,converged,9.997286e-09,,63,1,0.046924,0.046924,0.046924,1,9.519922e+08,21.2787,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:46Z,0.046924,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_f,serial,1,1,1,none,deterministic,static,solve,5192,1,converged,9.985556e-09,,63,1,0.061862,0.061862,0.061862,1,3.331156e+08,7.4457,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:46Z,0.061862,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_b,serial,1,1,1,none,deterministic,static,solve,5104,1,converged,9.989801e-09,,63,1,0.046571,0.046571,0.046571,1,4.349867e+08,9.7227,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:47Z,0.046571,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_s,serial,1,1,1,none,deterministic,static,solve,2579,1,converged,9.982257e-09,,63,1,0.060259,0.060259,0.060259,1,3.397375e+08,7.5937,24.0,20260802,fba9872e407f,convergence_counts,2,2,32.0,not_requested,2026-09-06T20:34:47Z,0.060259,cxx,cpp
poisson2d_rich_63,3969,gauss_seidel_rb,serial,1,1,1,none,deterministic,static,solve,5293,1,converged,9.978103e-09,,63,1,0.026108,0.026108,0.026108,1,8.046419e+08,17.9851,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:34:47Z,0.026108,cxx,cpp
poisson2d_rich_63,3969,sor,serial,1,1,1,none,deterministic,static,solve,216,1,converged,9.836381e-09,1.906455,63,1,0.002509,0.002509,0.002509,1,3.416320e+08,7.6361,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:47Z,0.002509,cxx,cpp
poisson2d_rich_63,3969,ssor,serial,1,1,1,none,deterministic,static,solve,2579,1,converged,9.982257e-09,1.000000,63,1,0.055629,0.055629,0.055629,1,3.680104e+08,8.2257,24.0,20260802,fba9872e407f,convergence_counts,2,2,32.0,not_requested,2026-09-06T20:34:48Z,0.055629,cxx,cpp
poisson2d_rich_63,3969,sor_rb,serial,1,1,1,none,deterministic,static,solve,197,1,converged,9.995782e-09,1.906455,63,1,0.000882,0.000882,0.000882,1,8.863864e+08,19.8123,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:34:48Z,0.000882,cxx,cpp
poisson2d_rich_63,3969,block_jacobi,serial,1,1,1,none,deterministic,static,solve,5852,1,converged,9.984687e-09,,63,1,0.113256,0.113256,0.113256,1,2.050812e+08,4.5839,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:34:48Z,0.113256,cxx,cpp
poisson2d_rich_63,3969,block_gauss_seidel,serial,1,1,1,none,deterministic,static,solve,2615,1,converged,9.969690e-09,,63,1,0.052919,0.052919,0.052919,1,1.961269e+08,4.3838,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:48Z,0.052919,cxx,cpp
poisson2d_rich_63,3969,cg,serial,1,1,1,none,deterministic,static,solve,197,1,converged,8.779298e-09,,63,1,0.001027,0.001027,0.001027,1,7.610449e+08,17.0107,24.0,20260802,fba9872e407f,convergence_counts,1,6,32.0,not_requested,2026-09-06T20:34:49Z,0.001027,cxx,cpp
poisson2d_rich_127,16129,richardson,serial,1,1,1,none,deterministic,static,solve,85458,1,converged,9.998625e-09,0.125000,127,1,1.019057,1.019057,1.019057,1,1.352576e+09,30.2324,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:34:51Z,1.019057,cxx,cpp
poisson2d_rich_127,16129,jacobi,serial,1,1,1,none,deterministic,static,solve,45880,1,converged,9.997766e-09,,127,1,0.682871,0.682871,0.682871,1,1.083657e+09,24.2216,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:52Z,0.682871,cxx,cpp
poisson2d_rich_127,16129,gauss_seidel_f,serial,1,1,1,none,deterministic,static,solve,21383,1,converged,9.997386e-09,,127,1,1.063872,1.063872,1.063872,1,3.241802e+08,7.2460,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:55Z,1.063872,cxx,cpp
poisson2d_rich_127,16129,gauss_seidel_b,serial,1,1,1,none,deterministic,static,solve,21345,1,converged,9.997858e-09,,127,1,0.927459,0.927459,0.927459,1,3.712008e+08,8.2970,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:34:57Z,0.927459,cxx,cpp
poisson2d_rich_127,16129,gauss_seidel_s,serial,1,1,1,none,deterministic,static,solve,10686,1,converged,9.999159e-09,,127,1,0.978131,0.978131,0.978131,1,3.524158e+08,7.8771,24.0,20260802,fba9872e407f,convergence_counts,2,2,32.0,not_requested,2026-09-06T20:34:59Z,0.978131,cxx,cpp
poisson2d_rich_127,16129,gauss_seidel_rb,serial,1,1,1,none,deterministic,static,solve,21938,1,converged,9.997512e-09,,127,1,0.411546,0.411546,0.411546,1,8.597769e+08,19.2175,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:35:00Z,0.411546,cxx,cpp
poisson2d_rich_127,16129,sor,serial,1,1,1,none,deterministic,static,solve,432,1,converged,9.973874e-09,1.952093,127,1,0.024271,0.024271,0.024271,1,2.870790e+08,6.4167,24.0,20260802,fba9872e407f,convergence_counts,1,1,32.0,not_requested,2026-09-06T20:35:00Z,0.024271,cxx,cpp
poisson2d_rich_127,16129,ssor,serial,1,1,1,none,deterministic,static,solve,10686,1,converged,9.999159e-09,1.000000,127,1,0.931533,0.931533,0.931533,1,3.700449e+08,8.2711,24.0,20260802,fba9872e407f,convergence_counts,2,2,32.0,not_requested,2026-09-06T20:35:02Z,0.931533,cxx,cpp
poisson2d_rich_127,16129,sor_rb,serial,1,1,1,none,deterministic,static,solve,414,1,converged,9.648302e-09,1.952093,127,1,0.007738,0.007738,0.007738,1,8.629726e+08,19.2889,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:35:02Z,0.007738,cxx,cpp
poisson2d_rich_127,16129,block_jacobi,serial,1,1,1,none,deterministic,static,solve,22483,1,converged,9.995910e-09,,127,1,1.782794,1.782794,1.782794,1,2.034045e+08,4.5464,24.0,20260802,fba9872e407f,convergence_counts,1,2,32.0,not_requested,2026-09-06T20:35:06Z,1.782794,cxx,cpp
